Function,testNum,clockTime,x_opt,f_opt,Distance,iterNum
f1,100,0.00044417381286621094,0.99967182361984896,1.0769973646240771e-07,1.0769973646240771e-07,10
f1,100,0.0004830360412597656,1.0008255039266396,6.814567328206067e-07,6.814567328206067e-07,12
f1,100,0.0005269050598144531,0.99974910807269102,6.2946759138426955e-08,6.2946759138426955e-08,12
f1,100,0.0005469322204589844,0.99902932168741165,9.4221638657909779e-07,9.4221638657909779e-07,14
f1,100,0.0008690357208251953,1.0017302382469515,2.993724391275876e-06,2.993724391275876e-06,14
f1,100,0.001065969467163086,1.0001168086654699,1.3644264384993221e-08,1.3644264384993221e-08,14
f1,100,0.0011839866638183594,1.0015122290342364,2.2868366520434336e-06,2.2868366520434336e-06,14
f1,100,0.0012061595916748047,1.0014479090734352,2.0964406848289485e-06,2.0964406848289485e-06,12
f1,100,0.0009739398956298828,0.99890316630012599,1.2030441651766921e-06,1.2030441651766921e-06,12
f1,100,0.0009789466857910156,1.0000338545666074,1.1461316340444228e-09,1.1461316340444228e-09,12
f1,100,0.0011680126190185547,0.99887458445619182,1.2665601462069631e-06,1.2665601462069631e-06,14
f1,100,0.0008499622344970703,0.99909428881527529,8.2031275017158123e-07,8.2031275017158123e-07,14
f1,100,0.0011398792266845703,1.0000184027775627,3.3866220938705283e-10,3.3866220938705283e-10,14
f1,100,0.0009291172027587891,1.0030298412645295,9.1799380883550441e-06,9.1799380883550441e-06,14
f1,100,0.0007231235504150391,1.0013988809966838,1.956868042940485e-06,1.956868042940485e-06,14
f1,100,0.0005428791046142578,0.99865903922354726,1.7981758040352958e-06,1.7981758040352958e-06,14
f1,100,0.0006158351898193359,1.0005848633720738,3.4206516397183861e-07,3.4206516397183861e-07,14
f1,100,0.0005481243133544922,0.99713827790317766,8.1894533594528696e-06,8.1894533594528696e-06,14
f1,100,0.0005228519439697266,0.99814985257169253,3.4230455064898635e-06,3.4230455064898635e-06,12
f1,100,0.00048089027404785156,1.002703689241325,7.3099355135664013e-06,7.3099355135664013e-06,12
f1,100,0.0005910396575927734,1.0019293404240195,3.7223544717690515e-06,3.7223544717690515e-06,14
f1,100,0.00046515464782714844,0.9997981743941966,4.0733575179530135e-08,4.0733575179530135e-08,12
f1,100,0.0007200241088867188,1.0011644134988658,1.3558587963480306e-06,1.3558587963480306e-06,14
f1,100,0.00045490264892578125,0.99820377094157697,3.2264388303282487e-06,3.2264388303282487e-06,12
f1,100,0.0006020069122314453,1.0019302054682337,3.7256931495477374e-06,3.7256931495477374e-06,14
f1,100,0.000865936279296875,0.99940140297625368,3.5831839684252742e-07,3.5831839684252742e-07,12
f1,100,0.0005280971527099609,0.99883598133480767,1.3549394529688286e-06,1.3549394529688286e-06,12
f1,100,0.0005459785461425781,1.0005300417324114,2.8094423809577052e-07,2.8094423809577052e-07,14
