Function,testNum,clockTime,x_opt,f_opt,Distance,iterNum
f1,100,0.0007688999176025391,0.99847683172867385,2.3200415827373533e-06,2.3200415827373533e-06,14
f1,100,0.0005578994750976562,1.0010802390146787,1.1669163288985374e-06,1.1669163288985374e-06,12
f1,100,0.0007050037384033203,0.99697040327105013,9.1784563400754138e-06,9.1784563400754138e-06,14
f1,100,0.0005638599395751953,0.99929458884146194,4.9760490261618884e-07,4.9760490261618884e-07,12
f1,100,0.0006070137023925781,0.99819014712749121,3.2755674200801721e-06,3.2755674200801721e-06,12
f1,100,0.0005519390106201172,1.0004120471100895,1.6978282091351105e-07,1.6978282091351105e-07,12
f1,100,0.0006189346313476562,0.99981002386122153,3.6090933352994625e-08,3.6090933352994625e-08,12
f1,100,0.0006289482116699219,0.9991732435087326,6.8352629589707448e-07,6.8352629589707448e-07,14
f1,100,0.00028395652770996094,1.0030576948059773,9.3494975264007962e-06,9.3494975264007962e-06,4
f1,100,0.0005929470062255859,1.000754714221699,5.6959355654306876e-07,5.6959355654306876e-07,12
f1,100,0.0006330013275146484,0.99767510027911022,5.4051587121684008e-06,5.4051587121684008e-06,12
f1,100,0.0005681514739990234,0.99694488475907828,9.3337291353634555e-06,9.3337291353634555e-06,12
f1,100,0.0007088184356689453,0.99914794112525707,7.2600432599045917e-07,7.2600432599045917e-07,14
f1,100,0.0005581378936767578,0.99876287893095284,1.5304685394568196e-06,1.5304685394568196e-06,12
f1,100,0.0006301403045654297,1.0026926629420179,7.2504337194079227e-06,7.2504337194079227e-06,12
f1,100,0.0001678466796875,1.0033262324696977,1.106382244242532e-05,1.106382244242532e-05,2
f1,100,0.0008058547973632812,1.0014555153975844,2.118525072702937e-06,2.118525072702937e-06,14
f1,100,0.0005500316619873047,1.0006980758736443,4.8730992530110484e-07,4.8730992530110484e-07,12
f1,100,0.0007188320159912109,0.99802481102638463,3.901371481540572e-06,3.901371481540572e-06,14
f1,100,0.00040793418884277344,0.9971915200940995,7.8875593818583667e-06,7.8875593818583667e-06,8
f1,100,0.0005300045013427734,1.0000303574137446,9.2157259601322039e-10,9.2157259601322039e-10,10
f1,100,0.0005450248718261719,1.0006214209684416,3.8616402009417072e-07,3.8616402009417072e-07,12
f1,100,0.0006968975067138672,1.000799154845029,6.3864846633343575e-07,6.3864846633343575e-07,14
f1,100,0.0005359649658203125,0.99983202903300483,2.8214245717528286e-08,2.8214245717528286e-08,12
f1,100,0.0007050037384033203,0.99738770841909852,6.8240673036790156e-06,6.8240673036790156e-06,12
f1,100,0.0010590553283691406,1.002533780207874,6.4200421419080556e-06,6.4200421419080556e-06,14
